arrcount,arrsum,delaycount,delaysum,depcount,depsum,iata,latitude,longitude,name,time,year
2.0,9.0,2.0,9.0,0.0,0.0,BOS,42.36429977,-71.00520325,Gen Edw L Logan Intl,1000,2014
6.0,182.0,10.0,315.0,4.0,133.0,MCO,28.429399490356445,-81.30899810791016,Orlando International,1000,2014
1.0,61.0,4.0,80.0,3.0,19.0,EWR,40.69250106811523,-74.168701171875,Newark Intl,1000,2014
4.0,46.0,6.0,64.0,2.0,18.0,LGA,40.77719879,-73.87259674,LaGuardia,1000,2014
3.0,18.0,5.0,149.0,2.0,131.0,JFK,40.63980103,-73.77890015,John F Kennedy Intl,1000,2014
10.0,169.0,16.0,228.0,6.0,59.0,FLL,26.072599,-80.152702,Fort Lauderdale-Hollywood Int'l,1000,2014
2.0,43.0,5.0,58.0,3.0,15.0,SAN,32.7336006165,-117.190002441,San Diego International-Lindbergh,1000,2014
10.0,114.0,13.0,165.0,3.0,51.0,CLT,35.2140007019043,-80.94309997558594,Charlotte/Douglas International,1000,2014
1.0,12.0,7.0,123.0,6.0,111.0,DTW,42.212398529052734,-83.35340118408203,Detroit Metropolitan-Wayne County,1000,2014
2.0,26.0,3.0,53.0,1.0,27.0,DCA,38.8521,-77.037697,Ronald Reagan Washington National,1000,2014
2.0,59.0,7.0,161.0,5.0,102.0,MSP,44.882,-93.221802,Minneapolis-St Paul Intl,1000,2014
9.0,114.0,14.0,242.0,5.0,128.0,MIA,25.79319953918457,-80.29060363769531,Miami International,1000,2014
0.0,0.0,3.0,44.0,3.0,44.0,BWI,39.1754,-76.668297,Baltimore-Washington International,1000,2014
3.0,42.0,7.0,81.0,4.0,39.0,PHL,39.87189865112305,-75.24109649658203,Philadelphia Intl,1000,2014
9.0,79.0,13.0,168.0,4.0,89.0,TPA,27.975500106811523,-82.533203125,Tampa International,1000,2014
10.0,122.0,11.0,145.0,1.0,23.0,SLC,40.78839874267578,-111.97799682617188,Salt Lake City Intl,1000,2014
1.0,69.0,4.0,158.0,3.0,89.0,IAD,38.94449997,-77.45580292,Washington Dulles International,1000,2014
1.0,9.0,11.0,230.0,10.0,221.0,MDW,41.785999,-87.752403,Chicago Midway,1000,2014
4.0,41.0,9.0,172.0,5.0,131.0,BNA,36.1245002746582,-86.6781997680664,Nashville International,1000,2014
3.0,55.0,6.0,155.0,3.0,100.0,PDX,45.58869934,-122.5979996,Portland Intl,1000,2014
8.0,147.0,14.0,228.0,6.0,81.0,DAL,32.847099,-96.851799,Dallas Love,1000,2014
4.0,26.0,6.0,48.0,2.0,22.0,AUS,30.2987223546,-97.6997852325,Austin-Bergstrom International,1000,2014
2.0,30.0,3.0,45.0,1.0,15.0,RDU,35.877601623535156,-78.7874984741211,Raleigh-Durham International,1000,2014
4.0,70.0,8.0,113.0,4.0,43.0,STL,38.748697,-90.370003,Lambert-St Louis International,1000,2014
6.0,82.0,11.0,117.0,5.0,35.0,MSY,29.99340057373047,-90.25800323486328,New Orleans International,1000,2014
1.0,7.0,3.0,14.0,2.0,7.0,MCI,39.2976,-94.713898,Kansas City International,1000,2014
2.0,17.0,7.0,129.0,5.0,112.0,HOU,29.64539909,-95.27890015,William P Hobby,1000,2014
0.0,0.0,1.0,11.0,1.0,11.0,PIT,40.49150085,-80.23290253,Pittsburgh International,1000,2014
3.0,110.0,6.0,166.0,3.0,56.0,SJC,37.362598,-121.929001,San Jose International,1000,2014
0.0,0.0,2.0,5.0,2.0,5.0,OAK,37.721298,-122.221001,Metropolitan Oakland International,1000,2014
4.0,14.0,5.0,45.0,1.0,31.0,SMF,38.69540023803711,-121.59100341796876,Sacramento International,1000,2014
1.0,13.0,3.0,58.0,2.0,45.0,IND,39.7173,-86.294403,Indianapolis International,1000,2014
0.0,0.0,2.0,10.0,2.0,10.0,SNA,33.67570114,-117.8679962,John Wayne /Orange Co,1000,2014
1.0,21.0,2.0,39.0,1.0,18.0,CLE,41.411701202399996,-81.8498001099,Cleveland-Hopkins Intl,1000,2014
2.0,110.0,4.0,209.0,2.0,99.0,CMH,39.998001,-82.891899,Port Columbus Intl,1000,2014
2.0,47.0,4.0,120.0,2.0,73.0,SAT,29.533700942993164,-98.46980285644531,San Antonio International,1000,2014
0.0,0.0,0.0,0.0,0.0,0.0,CVG,39.0488014221,-84.6678009033,Cincinnati Northern Kentucky Intl,1000,2014
0.0,0.0,0.0,0.0,0.0,0.0,JAX,30.49410057067871,-81.68789672851562,Jacksonville International,1000,2014
0.0,0.0,0.0,0.0,0.0,0.0,HNL,21.32062,-157.924228,Honolulu International,1000,2014
1.0,21.0,3.0,41.0,2.0,20.0,MKE,42.94720077514648,-87.89659881591797,General Mitchell International,1000,2014
14.0,189.0,42.0,453.0,28.0,264.0,ATL,33.6367,-84.428101,William B Hartsfield-Atlanta Intl,1000,2014
10.0,85.0,23.0,247.0,13.0,162.0,LAX,33.94250107,-118.4079971,Los Angeles International,1000,2014
6.0,113.0,19.0,922.0,13.0,809.0,ORD,41.9786,-87.9048,Chicago O'Hare International,1000,2014
7.0,85.0,26.0,308.0,19.0,223.0,DEN,39.861698150635,-104.672996521,Denver Intl,1000,2014
7.0,133.0,20.0,379.0,13.0,246.0,DFW,32.896801,-97.038002,Dallas-Fort Worth International,1000,2014
5.0,31.0,7.0,118.0,2.0,87.0,LAS,36.08010101,-115.1520004,McCarran International,1000,2014
5.0,80.0,13.0,275.0,8.0,195.0,SFO,37.61899948120117,-122.375,San Francisco International,1000,2014
8.0,55.0,20.0,216.0,12.0,161.0,PHX,33.43429946899414,-112.01200103759766,Phoenix Sky Harbor International,1000,2014
6.0,204.0,10.0,330.0,4.0,126.0,IAH,29.98439979553223,-95.34140014648438,George Bush Intercontinental,1000,2014
8.0,88.0,14.0,128.0,6.0,40.0,SEA,47.449001,-122.308998,Seattle-Tacoma Intl,1000,2014
2.0,9.0,2.0,9.0,0.0,0.0,BOS,42.36429977,-71.00520325,Gen Edw L Logan Intl,1000,2014
6.0,182.0,10.0,315.0,4.0,133.0,MCO,28.429399490356445,-81.30899810791016,Orlando International,1000,2014
1.0,61.0,4.0,80.0,3.0,19.0,EWR,40.69250106811523,-74.168701171875,Newark Intl,1000,2014
4.0,46.0,6.0,64.0,2.0,18.0,LGA,40.77719879,-73.87259674,LaGuardia,1000,2014
3.0,18.0,5.0,149.0,2.0,131.0,JFK,40.63980103,-73.77890015,John F Kennedy Intl,1000,2014
10.0,169.0,16.0,228.0,6.0,59.0,FLL,26.072599,-80.152702,Fort Lauderdale-Hollywood Int'l,1000,2014
2.0,43.0,5.0,58.0,3.0,15.0,SAN,32.7336006165,-117.190002441,San Diego International-Lindbergh,1000,2014
10.0,114.0,13.0,165.0,3.0,51.0,CLT,35.2140007019043,-80.94309997558594,Charlotte/Douglas International,1000,2014
1.0,12.0,7.0,123.0,6.0,111.0,DTW,42.212398529052734,-83.35340118408203,Detroit Metropolitan-Wayne County,1000,2014
2.0,26.0,3.0,53.0,1.0,27.0,DCA,38.8521,-77.037697,Ronald Reagan Washington National,1000,2014
2.0,59.0,7.0,161.0,5.0,102.0,MSP,44.882,-93.221802,Minneapolis-St Paul Intl,1000,2014
9.0,114.0,14.0,242.0,5.0,128.0,MIA,25.79319953918457,-80.29060363769531,Miami International,1000,2014
0.0,0.0,3.0,44.0,3.0,44.0,BWI,39.1754,-76.668297,Baltimore-Washington International,1000,2014
3.0,42.0,7.0,81.0,4.0,39.0,PHL,39.87189865112305,-75.24109649658203,Philadelphia Intl,1000,2014
9.0,79.0,13.0,168.0,4.0,89.0,TPA,27.975500106811523,-82.533203125,Tampa International,1000,2014
10.0,122.0,11.0,145.0,1.0,23.0,SLC,40.78839874267578,-111.97799682617188,Salt Lake City Intl,1000,2014
1.0,69.0,4.0,158.0,3.0,89.0,IAD,38.94449997,-77.45580292,Washington Dulles International,1000,2014
1.0,9.0,11.0,230.0,10.0,221.0,MDW,41.785999,-87.752403,Chicago Midway,1000,2014
4.0,41.0,9.0,172.0,5.0,131.0,BNA,36.1245002746582,-86.6781997680664,Nashville International,1000,2014
3.0,55.0,6.0,155.0,3.0,100.0,PDX,45.58869934,-122.5979996,Portland Intl,1000,2014
8.0,147.0,14.0,228.0,6.0,81.0,DAL,32.847099,-96.851799,Dallas Love,1000,2014
4.0,26.0,6.0,48.0,2.0,22.0,AUS,30.2987223546,-97.6997852325,Austin-Bergstrom International,1000,2014
2.0,30.0,3.0,45.0,1.0,15.0,RDU,35.877601623535156,-78.7874984741211,Raleigh-Durham International,1000,2014
4.0,70.0,8.0,113.0,4.0,43.0,STL,38.748697,-90.370003,Lambert-St Louis International,1000,2014
6.0,82.0,11.0,117.0,5.0,35.0,MSY,29.99340057373047,-90.25800323486328,New Orleans International,1000,2014
