FL_DATE,ORIGIN,DEP_TIME,TAXI_OUT
2009,DFW,1330.0,14.642857142857142
2009,DFW,1400.0,13.8
2009,DFW,1430.0,13.923076923076923
2009,DFW,1500.0,13.5
2009,DFW,1530.0,13.666666666666666
2009,DFW,1600.0,13.5
2009,DFW,1630.0,17.3125
2009,DFW,1700.0,15.5
2009,DFW,1730.0,14.333333333333334
2009,DFW,1800.0,12.909090909090908
2009,DFW,1830.0,13.866666666666667
2009,DFW,1900.0,13.066666666666666
2009,DFW,1930.0,13.3
2009,DFW,2000.0,16.416666666666668
2009,DFW,2030.0,12.916666666666666
2009,DFW,2100.0,14.642857142857142
2009,DFW,2130.0,10.166666666666666
2009,DFW,2200.0,11.166666666666666
2009,DFW,2230.0,12.5
2009,DTW,530.0,28.5
2009,DTW,600.0,35.0
2009,DTW,630.0,33.8
2009,DTW,700.0,38.705882352941174
2009,DTW,730.0,35.625
2009,DTW,800.0,19.333333333333332
2009,DTW,830.0,27.714285714285715
2009,DTW,900.0,27.428571428571427
2009,DTW,930.0,16.0
2009,DTW,1000.0,30.454545454545453
2009,DTW,1030.0,37.333333333333336
2009,DTW,1100.0,25.4
2009,DTW,1130.0,18.2
2009,DTW,1200.0,21.529411764705884
2009,DTW,1230.0,19.0
2009,DTW,1300.0,6.0
2009,DTW,1330.0,17.055555555555557
2009,DTW,1400.0,17.0
2009,DTW,1430.0,11.8
2009,DTW,1500.0,18.2
2009,DTW,1530.0,28.53846153846154
2009,DTW,1600.0,31.0
2009,DTW,1630.0,51.0
2009,DTW,1700.0,44.3
2009,DTW,1730.0,55.68421052631579
2009,DTW,1800.0,58.0
2009,DTW,1830.0,32.0
2009,DTW,1900.0,45.2
2009,DTW,1930.0,52.857142857142854
2009,DTW,2000.0,46.666666666666664
2009,DTW,2030.0,35.25
2009,DTW,2100.0,34.0
2009,DTW,2130.0,34.0
2009,DTW,2200.0,40.0
2009,DTW,2230.0,35.0
2009,DTW,2330.0,26.0
2009,EWR,430.0,13.0
2009,EWR,500.0,12.0
2009,EWR,530.0,15.0
2009,EWR,600.0,18.22222222222222
2009,EWR,630.0,16.545454545454547
2009,EWR,700.0,18.428571428571427
2009,EWR,730.0,16.666666666666668
2009,EWR,800.0,17.0
2009,EWR,830.0,18.444444444444443
2009,EWR,900.0,27.555555555555557
2009,EWR,930.0,16.0
2009,EWR,1000.0,13.75
2009,EWR,1030.0,11.666666666666666
2009,EWR,1100.0,17.857142857142858
2009,EWR,1130.0,14.777777777777779
2009,EWR,1200.0,10.5
2009,EWR,1230.0,16.142857142857142
2009,EWR,1300.0,15.0
2009,EWR,1330.0,15.571428571428571
2009,EWR,1400.0,11.333333333333334
2009,EWR,1430.0,12.666666666666666
2009,EWR,1500.0,15.142857142857142
2009,EWR,1530.0,14.142857142857142
2009,EWR,1600.0,14.5
2009,EWR,1630.0,16.88888888888889
2009,EWR,1700.0,14.142857142857142
2009,EWR,1730.0,13.666666666666666
2009,EWR,1800.0,17.333333333333332
2009,EWR,1830.0,19.77777777777778
2009,EWR,1900.0,20.0
2009,EWR,1930.0,29.333333333333332
2009,EWR,2000.0,33.333333333333336
2009,EWR,2030.0,19.125
2009,EWR,2100.0,22.11111111111111
2009,EWR,2130.0,14.5
2009,EWR,2200.0,15.0
2009,FLL,530.0,12.666666666666666
2009,FLL,600.0,11.0
2009,FLL,630.0,10.25
2009,FLL,700.0,15.875
2009,FLL,730.0,14.625
2009,FLL,800.0,10.0
2009,FLL,830.0,10.285714285714286
2009,FLL,900.0,19.0
2009,FLL,930.0,11.75
2009,FLL,1000.0,15.0
2009,FLL,1030.0,15.428571428571429
2009,FLL,1100.0,17.6
2009,FLL,1130.0,14.714285714285714
2009,FLL,1200.0,14.0
2009,FLL,1230.0,14.285714285714286
2009,FLL,1300.0,31.666666666666668
2009,FLL,1330.0,25.5
2009,FLL,1400.0,23.0
2009,FLL,1430.0,18.2
2009,FLL,1500.0,35.666666666666664
2009,FLL,1530.0,22.0
2009,FLL,1600.0,21.428571428571427
2009,FLL,1630.0,20.0
2009,FLL,1700.0,18.1
2009,FLL,1730.0,29.833333333333332
2009,FLL,1800.0,28.333333333333332
2009,FLL,1830.0,35.2
2009,FLL,1900.0,34.285714285714285
2009,FLL,1930.0,17.166666666666668
2009,FLL,2000.0,15.5
2009,FLL,2030.0,16.5
2009,FLL,2100.0,15.0
2009,FLL,2130.0,16.0
2009,FLL,2200.0,13.0
2009,HNL,0.0,11.0
2009,HNL,30.0,23.0
2009,HNL,630.0,20.0
2009,HNL,730.0,16.5
2009,HNL,800.0,18.0
2009,HNL,830.0,20.0
2009,HNL,1300.0,16.0
2009,HNL,1330.0,18.88888888888889
2009,HNL,1400.0,15.666666666666666
2009,HNL,1430.0,15.5
2009,HNL,1530.0,18.5
2009,HNL,1700.0,21.0
2009,HNL,1730.0,20.0
2009,HNL,1800.0,17.0
2009,HNL,2030.0,17.666666666666668
2009,HNL,2100.0,16.0
2009,HNL,2130.0,19.666666666666668
2009,HNL,2200.0,18.5
2009,HNL,2230.0,19.8
2009,HNL,2300.0,14.0
2009,HNL,2330.0,17.333333333333332
2009,HOU,530.0,11.0
2009,HOU,630.0,8.0
2009,HOU,700.0,6.833333333333333
2009,HOU,730.0,8.6
2009,HOU,800.0,8.0
2009,HOU,830.0,7.0
2009,HOU,900.0,8.5
2009,HOU,930.0,7.0
2009,HOU,1000.0,9.875
2009,HOU,1030.0,6.666666666666667
2009,HOU,1100.0,9.0
2009,HOU,1130.0,7.8
2009,HOU,1200.0,7.333333333333333
2009,HOU,1230.0,12.0
2009,HOU,1300.0,9.0
2009,HOU,1330.0,6.8
2009,HOU,1400.0,9.0
2009,HOU,1430.0,12.0
2009,HOU,1500.0,7.75
2009,HOU,1530.0,12.0
2009,HOU,1600.0,9.5
2009,HOU,1630.0,7.75
2009,HOU,1700.0,6.0
2009,HOU,1730.0,7.666666666666667
2009,HOU,1800.0,7.5
2009,HOU,1830.0,11.8
